Building,Address,"Entrance (lat, long)",
Graves Hall,"3910  Montlake Blvd NE  Seattle, WA 98195","47.65305562148591, -122.30244954961086",
Husky Union Building,"4001  East Stevens Way NE  Seattle, WA 98195","47.655605144740385, -122.30553455932109",
Henderson Hall,"1013 NE Lincoln wy   Seattle, WA 98105","47.65519242148066, -122.31729712417594",
Architecture Hall,"3943  West Stevens Way NE  Seattle, WA 98195","47.65460823152742, -122.31066464272665",
Suzzallo Library,"1840 NE Grant Ln   Seattle, WA 98195","47.65579633787313, -122.30867986533453",
Guggenheim Hall,"3940  Benton Ln NE  Seattle, WA 98195","47.65422061055045, -122.30652800430826",
Oceanography Storage Shed,"1651 NE San Juan Rd   Seattle, WA 98195","47.64877840012347, -122.3105703650979",
"UW Medical Center - Montlake, Wing EE","1959 NE Pacific St   Seattle, WA 98195","47.64919951253189, -122.3081236996279",
Physics-Astronomy Building,"3900  15th Ave NE  Seattle, WA 98195","47.65349247869773, -122.31090471349249",has multiple good entrances
Graves Annex Building,"3885  Walla Walla Rd NE  Seattle, WA 98195","47.652482635728894, -122.30114579406532",
Atmospheric Sciences-Geophysics Building,"3920  Okanogan Ln NE  Seattle, WA 98195","47.65380838181594, -122.30947041545124",
Hutchinson Hall,"4276  East Stevens Way NE  Seattle, WA 98195","47.65980275469818, -122.30699659010922",
Bank of America Executive Education Center,"4275  East Stevens Way NE  Seattle, WA 98195","47.65963914438153, -122.30785811522838","tree obscures entrance, satellite is misleading compared to street view"
Henry Art Gallery,"4051  George Washington Ln NE  Seattle, WA 98195","47.65623091756307, -122.31158104442756",
Engineering Library,"3914  East Stevens Way NE  Seattle, WA 98195","47.65459425960503, -122.30470628196076",
Oceanography Building,"1606 NE San Juan Rd   Seattle, WA 98195","47.64913133545797, -122.31043954593092",
Glenn Hughes Penthouse Theatre,"1803 NE 45th St   Seattle, WA 98195",,
William H. Gates Hall,"4293  Memorial Way NE  Seattle, WA 98195","47.65944063279449, -122.31144791483979",
Merrill Hall,"3501 NE 41st St   Seattle, WA 98195","47.65775016454126, -122.29063698589258",
Intellectual House,"4249  Little Canoe Channel  NE  Seattle, WA 98195","47.65838902458236, -122.30481512565146",
Dempsey Hall,"4273  East Stevens Way NE  Seattle, WA 98195","47.65916695860068, -122.30749388183858",
Life Sciences Building,"3747  West Stevens Way NE  Seattle, WA 98195","47.652474974030774, -122.31025464629114",
Oak Hall,"4295  Little Canoe Channel  NE  Seattle, WA 98195","47.659376720641035, -122.30528244886429",
Founders Hall,"4215  East Stevens Way NE  Seattle, WA 98195","47.65878746626173, -122.3074380756608",
Allen Library,"1900 NE Grant Ln   Seattle, WA 98195","47.65566556006906, -122.30710725882922",